"Inicio del informe","Fin del informe","Nombre del anuncio","Entrega del anuncio","Configuración de atribución",Resultados,"Indicador de resultado",Alcance,Frecuencia,"Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (ARS)",Finalización,"Clasificación de calidad","Clasificación del porcentaje de interacción","Clasificación del porcentaje de conversiones",Impresiones,"CPM (costo por mil impresiones) (ARS)","Clics en el enlace",shop_clicks,"CPC (costo por clic en el enlace) (ARS)","CTR (porcentaje de clics en el enlace)","Clics (todos)","CTR (todos)","CPC (todos) (ARS)","Visitas a la página de destino","Costo por visita a la página de destino (ARS)","Artículos agregados al carrito","Pagos iniciados",Compras,"Valor de conversión de compras","ROAS de resultados","Indicador de ROAS de resultado","Reproducciones de video de 3 segundos",ThruPlays,"Reproducciones de video hasta el 25%","Reproducciones de video hasta el 50%","Reproducciones de video hasta el 75%","Reproducciones de video hasta el 100%","Tiempo promedio de reproducción del video","Resultados (iniciales)","Indicador de resultados (iniciales)"
2026-08-24,2026-08-24,"Cardigan  | 07/08",inactive,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,0,0,,3000,Diario,0,"En curso",-,-,-,0,0,,,,,0,0,0,,,,,,,,,,,,,,,00:00:00,,
2026-08-24,2026-08-24,"SW ARG2  | 07/08 ULTIMOS",inactive,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,0,0,,3000,Diario,0,"En curso",-,-,-,0,0,,,,,0,0,0,,,,,,,,,,,,,,,00:00:00,,
2026-08-24,2026-08-24,"Reviews | 06/08",not_delivering,"1 día tras clic",,,0,0,,1750,Diario,0,"En curso",-,-,-,0,0,,,,,0,0,0,,,,,,,,,,,,,,,00:00:00,,
2026-08-24,2026-08-24,"ANA TIK TOK | 06/08",not_delivering,"1 día tras clic",,,0,0,,1750,Diario,0,"En curso",-,-,-,0,0,,,,,0,0,0,,,,,,,,,,,,,,,00:00:00,,
2026-08-24,2026-08-24,"SW ARG2 | 06/08",inactive,"1 día tras clic",,,0,0,,1750,Diario,0,"En curso",-,-,-,0,0,,,,,0,0,0,,,,,,,,,,,,,,,00:00:00,,
2026-08-24,2026-08-24,"3x2 estatico | 05/08",inactive,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,0,0,,5000,Diario,0,"En curso",-,-,-,0,0,,,,,0,0,0,,,,,,,,,,,,,,,00:00:00,,
2026-08-24,2026-08-24,"3x2 historia | 05/08",inactive,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,0,0,,5000,Diario,0,"En curso",-,-,-,0,0,,,,,0,0,0,,,,,,,,,,,,,,,00:00:00,,
2026-08-24,2026-08-24,"3X2 feed | 05/08",inactive,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,0,0,,5000,Diario,0,"En curso",-,-,-,0,0,,,,,0,0,0,,,,,,,,,,,,,,,00:00:00,,
2026-08-24,2026-08-24,"SW ARG2  | 03/08 ULTIMOS",inactive,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,0,0,,3450,Diario,0,"En curso",-,-,-,0,0,,,,,0,0,0,,,,,,,,,,,,,,,00:00:00,,
2026-08-24,2026-08-24,"SW ARG2  | 03/08",inactive,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,0,0,,3450,Diario,0,"En curso",-,-,-,0,0,,,,,0,0,0,,,,,,,,,,,,,,,00:00:00,,
