Nombre del anuncio,Inicio del informe,Importe gastado (ARS),Impresiones,Alcance,Frecuencia,Clics en el enlace,Visitas a la página de destino,Artículos agregados al carrito,Pagos iniciados,Compras,Valor de conversión de compras,Reproducciones de video de 3 segundos,ThruPlays,Resultados
IG Post 29/8 A - Convocatoria (nuevas convocatorias),2026-08-30,2015.9,122,119,1.02521,0,0,0,0,0,0,0,0,0
2 - Nueva - Copia,2026-08-31,2362.91,465,424,1.096698,9,0,0,0,0,0,0,0,0
2 - Nueva - Copia 2,2026-08-31,2037.63,420,378,1.111111,3,0,0,0,0,0,0,0,1
IG Post 29/8 B - Convocatoria (30 días publicidad),2026-08-31,2704.54,257,218,1.178899,3,0,0,0,0,0,0,0,1
IG Post 29/8 A - Convocatoria (nuevas convocatorias),2026-08-31,2897.82,260,237,1.097046,1,0,0,0,0,0,0,0,0
2 - Nueva - Copia,2026-09-01,6681.41,1202,1008,1.19246,18,0,0,0,0,0,0,0,5
2 - Nueva - Copia 2,2026-09-01,4841,1041,966,1.07764,12,0,0,0,0,0,0,0,3
IG Post 29/8 B - Convocatoria (30 días publicidad),2026-09-01,433.89,53,46,1.152174,1,0,0,0,0,0,0,0,1
IG Post 29/8 A - Convocatoria (nuevas convocatorias),2026-09-01,35.8,5,5,1,0,0,0,0,0,0,0,0,0
2 - Nueva - Copia,2026-09-02,2127.15,344,330,1.042424,5,0,0,0,0,0,0,0,1
2 - Nueva - Copia 2,2026-09-02,787.38,175,163,1.07362,4,0,0,0,0,0,0,0,2
IG Post 29/8 B - Convocatoria (30 días publicidad),2026-09-02,386.6,49,41,1.195122,2,0,0,0,0,0,0,0,1
IG Post 29/8 A - Convocatoria (nuevas convocatorias),2026-09-02,28.23,2,2,1,0,0,0,0,0,0,0,0,0
