"Inicio del informe","Fin del informe","Nombre del anuncio","Identificador del anuncio","Entrega del anuncio",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (ARS)",Impresiones,Alcance,Finalización,"Configuración de atribución",Puja,"Tipo de puja","Último cambio significativo","Clasificación de calidad","Clasificación del porcentaje de interacción","Clasificación del porcentaje de conversiones","Nombre del conjunto de anuncios",Objetivo,Frecuencia,"CPM (costo por mil impresiones) (ARS)","Clics en el enlace","CPC (costo por clic en el enlace) (ARS)","CTR (porcentaje de clics en el enlace)","Clics (todos)","CTR (todos)","Clientes potenciales","Costo por cliente potencial (ARS)","Conversaciones con mensajes iniciadas","Interacciones con la publicación","Comentarios de publicaciones","Reacciones a publicaciones","Veces que se compartieron las publicaciones","Veces que se guardaron las publicaciones",Compras,"Valor de resultados","Indicador de ROAS de resultado","Valor de conversión de compras","ROAS de resultados","Reproducciones de video de 3 segundos","Reproducciones de video hasta el 25%","Reproducciones de video hasta el 50%","Reproducciones de video hasta el 75%","Reproducciones de video hasta el 100%","Tiempo promedio de reproducción del video",ThruPlays,"CTR único (porcentaje de clics en el enlace)","CTR único (todos)"
2026-08-17,2026-08-17,"2 - Nueva - Copia 3",120252606034020202,active,1,actions:leadgen.other,29.4,"Con el presupuesto de la campaña",0,29.4,5,5,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-08-23T20:51:53-0300,-,-,-,"Nueva campaña de Clientes potenciales V.2 - Argentina","Clientes potenciales",1,5880,1,29.4,20,2,40,1,29.4,,1,,,,,,,,,,,,,,,00:00:00,,20,20
2026-08-17,2026-08-17,"2 - Nueva - Copia 2",120252606006150202,active,1,actions:leadgen.other,4117.57,"Con el presupuesto de la campaña",0,4117.57,763,671,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-08-23T20:51:53-0300,Promedio,"Por encima del promedio","Por encima del promedio","Nueva campaña de Clientes potenciales V.2 - Argentina","Clientes potenciales",1.137109,5396.55308,5,823.514,0.655308,14,1.834862,1,4117.57,1,8,2,,,1,,,,,,,,,,,00:00:00,,0.745156,1.788376
2026-08-17,2026-08-17,"2 - Nueva - Copia",120252605987120202,active,6,actions:leadgen.other,1291.77,"Con el presupuesto de la campaña",0,7750.62,1256,1081,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-08-23T20:51:53-0300,Promedio,Promedio,"Por encima del promedio","Nueva campaña de Clientes potenciales V.2 - Argentina","Clientes potenciales",1.161887,6170.875796,19,407.927368,1.512739,36,2.866242,6,1291.77,4,20,,,,1,,,,,,,,,,,00:00:00,,1.665125,2.682701
2026-08-16,2026-08-16,"Nuevo anuncio de Clientes potenciales - Copia 4",120252849439060202,active,,,,"Con el presupuesto de la campaña",0,41.25,3,3,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-08-23T20:51:53-0300,-,-,-,"Nueva campaña de Clientes potenciales V.2 - Argentina","Clientes potenciales",1,13750,,,,0,0,,,,,,,,,,,,,,,,,,,00:00:00,,0,0
2026-08-16,2026-08-16,"2 - Nueva - Copia 3",120252606034020202,active,,,,"Con el presupuesto de la campaña",0,0,0,0,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-08-23T20:51:53-0300,-,-,-,"Nueva campaña de Clientes potenciales V.2 - Argentina","Clientes potenciales",0,0,,,,0,0,,,,,,,,,,,,,,,,,,,00:00:00,,0,0
2026-08-16,2026-08-16,"2 - Nueva - Copia 2",120252606006150202,active,,,,"Con el presupuesto de la campaña",0,100.02,10,9,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-08-23T20:51:53-0300,-,-,-,"Nueva campaña de Clientes potenciales V.2 - Argentina","Clientes potenciales",1.111111,10002,,,,0,0,,,,,,,,,,,,,,,,,,,00:00:00,,0,0
2026-08-16,2026-08-16,"2 - Nueva - Copia",120252605987120202,active,7,actions:leadgen.other,1527.82142857,"Con el presupuesto de la campaña",0,10694.75,1752,1476,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-08-23T20:51:53-0300,Promedio,Promedio,"Por encima del promedio","Nueva campaña de Clientes potenciales V.2 - Argentina","Clientes potenciales",1.186992,6104.309361,23,464.98913,1.312785,48,2.739726,7,1527.821429,3,28,2,3,,,,,,,,,,,,,00:00:00,,1.490515,2.574526
2026-08-15,2026-08-15,"Nuevo anuncio de Clientes potenciales - Copia 4",120252849439060202,active,,,,"Con el presupuesto de la campaña",0,0,0,0,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-08-23T20:51:53-0300,-,-,-,"Nueva campaña de Clientes potenciales V.2 - Argentina","Clientes potenciales",0,0,,,,0,0,,,,,,,,,,,,,,,,,,,00:00:00,,0,0
2026-08-15,2026-08-15,"2 - Nueva - Copia 3",120252606034020202,active,,,,"Con el presupuesto de la campaña",0,0,0,0,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-08-23T20:51:53-0300,-,-,-,"Nueva campaña de Clientes potenciales V.2 - Argentina","Clientes potenciales",0,0,,,,0,0,,,,,,,,,,,,,,,,,,,00:00:00,,0,0
2026-08-15,2026-08-15,"2 - Nueva - Copia 2",120252606006150202,active,,,,"Con el presupuesto de la campaña",0,15.61,2,1,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-08-23T20:51:53-0300,-,-,-,"Nueva campaña de Clientes potenciales V.2 - Argentina","Clientes potenciales",2,7805,,,,0,0,,,,,,,,,,,,,,,,,,,00:00:00,,0,0
