"Inicio del informe","Fin del informe","Nombre del anuncio","Entrega del anuncio",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (ARS)",Impresiones,Alcance,Finalización,"Configuración de atribución",Puja,"Tipo de puja","Último cambio significativo","Clasificación de calidad","Clasificación del porcentaje de interacción","Clasificación del porcentaje de conversiones","Nombre del conjunto de anuncios","ROAS de resultados","Indicador de ROAS de resultado","CPM (costo por mil impresiones) (ARS)","CTR único (porcentaje de clics en el enlace)","Visitas a la página de destino","Artículos agregados al carrito","Pagos iniciados","Información de pago agregada",Compras,"Valor de conversión de compras","Valor de conversión de compras promedio [Todas las conversiones de la atribución incremental]",Frecuencia,"Clics en el enlace","Reproducciones de video de 3 segundos","Tiempo promedio de reproducción del video","Reproducciones de video hasta el 25%","Reproducciones de video hasta el 50%","Reproducciones de video hasta el 75%","Reproducciones de video hasta el 100%",ThruPlays,"CTR (porcentaje de clics en el enlace)","CTR único (todos)","CTR (todos)","CPC (costo por clic en el enlace) (ARS)","Resultados (iniciales)","Indicador de resultados (iniciales)"
2026-08-20,2026-08-20,Catalogo_3,active,1,actions:offsite_conversion.fb_pixel_purchase,9219.13,20000,Diario,9219.13,2959,2784,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-20T13:38:17-0300,-,-,-,Alba&Co_2026_Conversiones_Purchase_Adv+,3.49461392,action_values:offsite_conversion.fb_pixel_purchase,3115.623521,2.837644,76,8,2,1,1,32217.3,32217.3,1.062859,85,532,2,360,187,103,60,61,2.872592,4.310345,5.272051,108.460353,,
2026-08-20,2026-08-20,Catalogo_2,active,,,,20000,Diario,1357.75,290,261,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-20T13:38:17-0300,-,-,-,Alba&Co_2026_Conversiones_Purchase_Adv+,,,4681.896552,1.149425,3,,,,,,,1.111111,3,50,2,42,24,19,15,14,1.034483,2.298851,2.413793,452.583333,,
2026-08-20,2026-08-20,Catalogo_1,active,,,,20000,Diario,494.57,91,70,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-20T13:38:17-0300,-,-,-,Alba&Co_2026_Conversiones_Purchase_Adv+,,,5434.835165,4.285714,3,,,,,,,1.3,3,27,3,30,12,7,4,4,3.296703,5.714286,4.395604,164.856667,,
2026-08-19,2026-08-19,Catalogo_5,active,,,,20000,Diario,0,0,0,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-20T13:38:17-0300,-,-,-,Alba&Co_2026_Conversiones_Purchase_Adv+,,,0,0,,,,,,,,0,,,00:00:00,,,,,,,0,0,,,
2026-08-19,2026-08-19,Catalogo_Karla,active,,,,20000,Diario,0,0,0,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-20T13:38:17-0300,-,-,-,Alba&Co_2026_Conversiones_Purchase_Adv+,,,0,0,,,,,,,,0,,,00:00:00,,,,,,,0,0,,,
2026-08-19,2026-08-19,"Catalogo_4 ¿Es un varón?",active,,,,20000,Diario,0,0,0,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-20T13:38:17-0300,-,-,-,Alba&Co_2026_Conversiones_Purchase_Adv+,,,0,0,,,,,,,,0,,,00:00:00,,,,,,,0,0,,,
2026-08-19,2026-08-19,Catalogo_3,active,,,,20000,Diario,0,0,0,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-20T13:38:17-0300,-,-,-,Alba&Co_2026_Conversiones_Purchase_Adv+,,,0,0,,,,,,,,0,,,00:00:00,,,,,,,0,0,,,
2026-08-19,2026-08-19,Catalogo_2,active,,,,20000,Diario,0,0,0,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-20T13:38:17-0300,-,-,-,Alba&Co_2026_Conversiones_Purchase_Adv+,,,0,0,,,,,,,,0,,,00:00:00,,,,,,,0,0,,,
2026-08-19,2026-08-19,Catalogo_1,active,,,,20000,Diario,0,0,0,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-20T13:38:17-0300,-,-,-,Alba&Co_2026_Conversiones_Purchase_Adv+,,,0,0,,,,,,,,0,,,00:00:00,,,,,,,0,0,,,
2026-08-18,2026-08-18,Catalogo_5,active,,,,20000,Diario,0,0,0,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-20T13:38:17-0300,-,-,-,Alba&Co_2026_Conversiones_Purchase_Adv+,,,0,0,,,,,,,,0,,,00:00:00,,,,,,,0,0,,,
2026-08-18,2026-08-18,Catalogo_Karla,active,,,,20000,Diario,0,0,0,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-20T13:38:17-0300,-,-,-,Alba&Co_2026_Conversiones_Purchase_Adv+,,,0,0,,,,,,,,0,,,00:00:00,,,,,,,0,0,,,
2026-08-18,2026-08-18,"Catalogo_4 ¿Es un varón?",active,,,,20000,Diario,0,0,0,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-20T13:38:17-0300,-,-,-,Alba&Co_2026_Conversiones_Purchase_Adv+,,,0,0,,,,,,,,0,,,00:00:00,,,,,,,0,0,,,
2026-08-18,2026-08-18,Catalogo_3,active,,,,20000,Diario,0,0,0,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-20T13:38:17-0300,-,-,-,Alba&Co_2026_Conversiones_Purchase_Adv+,,,0,0,,,,,,,,0,,,00:00:00,,,,,,,0,0,,,
2026-08-18,2026-08-18,Catalogo_2,active,,,,20000,Diario,0,0,0,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-20T13:38:17-0300,-,-,-,Alba&Co_2026_Conversiones_Purchase_Adv+,,,0,0,,,,,,,,0,,,00:00:00,,,,,,,0,0,,,
2026-08-18,2026-08-18,Catalogo_1,active,,,,20000,Diario,0,0,0,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-20T13:38:17-0300,-,-,-,Alba&Co_2026_Conversiones_Purchase_Adv+,,,0,0,,,,,,,,0,,,00:00:00,,,,,,,0,0,,,
